PLANT CODE,CATEGORY MAIN,SKU CODE,WAREHOUSE_CUSTOMER,ROUTE,SUPPLIED_CASES,MAX_PRODUCTION_CAPACITY,PRODUCTION COST (INR/CASE),TOTAL_PRODUCTION_COST,TOTAL_FREIGHT_COST,TOTAL_COST
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,yqEqKBvKhpgfaeXx,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,52.48177,178640.0,67.5,3542.5194749999996,13451.281380887896,16993.800855887897
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,ikUeOHfwWLwIIekm,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,498.57682,178640.0,67.5,33653.93535,13451.281380887896,47105.2167308879
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,BZUJHAycGQJlojpx,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,419.85416,178640.0,67.5,28340.155799999997,13451.281380887896,41791.43718088789
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,gepQLvTkluUqKRYs,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,262.40885,178640.0,67.5,17712.597374999998,13451.281380887896,31163.878755887894
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,xCbnfEzIQgdfWPnk,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,91.843098,178640.0,67.5,6199.4091149999995,13451.281380887896,19650.690495887895
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,rEdEmdGgsfrloCwC,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,104.96354,178640.0,67.5,7085.038949999999,13451.281380887896,20536.320330887895
TlklqLlSrqYqbTVz,cbfnoGMbJmTPSIAo,qJfobctRpyjxPzKh,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,24.507027,90610.0,75.0,1838.027025,13451.281380887896,15289.308405887896
TlklqLlSrqYqbTVz,cbfnoGMbJmTPSIAo,QvpVPUMRpavJYfIF,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,61.267567,90610.0,75.0,4595.067525,13451.281380887896,18046.3489058879
TlklqLlSrqYqbTVz,cbfnoGMbJmTPSIAo,SyksarByfbecBRSe,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,24.507027,90610.0,75.0,1838.027025,13451.281380887896,15289.308405887896
TlklqLlSrqYqbTVz,cbfnoGMbJmTPSIAo,KwVGeYyfHNmTjKSI,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,98.028107,90610.0,75.0,7352.108025,13451.281380887896,20803.389405887898
TlklqLlSrqYqbTVz,cbfnoGMbJmTPSIAo,BumByXhtwbQeJeJE,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,24.507027,90610.0,75.0,1838.027025,13451.281380887896,15289.308405887896
WZeeUCjfPoEdlSBU,MuFbhxZtpdpKffUF,czpiGDCuWvqUGsca,CONgOkfsfyhrevbL,IdagonGfxMeYbBAI,75.183637,178500.0,36.0,2706.610932,43144.79487739107,45851.40580939107
TlklqLlSrqYqbTVz,cbfnoGMbJmTPSIAo,fZsPpOuhTPNPtSTh,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,220.56324,90610.0,75.0,16542.243000000002,13451.281380887896,29993.5243808879
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,STgIRweMMAGnSkEV,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,78.722656,178640.0,67.5,5313.77928,13451.281380887896,18765.060660887895
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,pSPLHiHIpyYDacLD,CONgOkfsfyhrevbL,QkwvjXHVEulRHFGE,123.33216,178640.0,67.5,8324.9208,13451.281380887896,21776.202180887896
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,yqEqKBvKhpgfaeXx,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.84951173,178640.0,67.5,57.342041775,14648.193971808316,14705.536013583316
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,ikUeOHfwWLwIIekm,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,7.2924123,178640.0,67.5,492.23783025,14648.193971808316,15140.431802058316
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,BZUJHAycGQJlojpx,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,4.7195096,178640.0,67.5,318.56689800000004,14648.193971808316,14966.760869808317
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,gepQLvTkluUqKRYs,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,1.2938242,178640.0,67.5,87.3331335,14648.193971808316,14735.527105308316
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,xCbnfEzIQgdfWPnk,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.89670683,178640.0,67.5,60.527711024999995,14648.193971808316,14708.721682833317
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,rEdEmdGgsfrloCwC,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,6.6073135,178640.0,67.5,445.99366125,14648.193971808316,15094.187633058316
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,VhTFlXrYWDYiZFRn,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.28409863,8870.4,67.5,19.176657525,10849.507609303559,10868.684266828559
IyeJmVJkwZvSLhso,JsONxKmTecQoXsfo,xvKwKNVxKXlreMSC,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.011238017,19958.4,60.0,0.67428102,10849.507609303559,10850.181890323558
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,qJfobctRpyjxPzKh,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.64799494,133056.0,75.0,48.5996205,19689.863917154504,19738.463537654505
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,QvpVPUMRpavJYfIF,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,2.0249842,133056.0,75.0,151.873815,19689.863917154504,19841.737732154503
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,SyksarByfbecBRSe,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,23.399424,133056.0,75.0,1754.9568,19689.863917154504,21444.820717154504
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,KwVGeYyfHNmTjKSI,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,4.0694651,133056.0,75.0,305.20988250000005,19689.863917154504,19995.073799654503
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,BumByXhtwbQeJeJE,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,2.2382058,133056.0,75.0,167.865435,19689.863917154504,19857.729352154503
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,JxdoDtWTmyPelves,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.61041976,133056.0,75.0,45.781482,19689.863917154504,19735.645399154502
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,fZsPpOuhTPNPtSTh,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,17.920871,133056.0,75.0,1344.065325,19689.863917154504,21033.929242154503
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,fMImIRydzKzSltNJ,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.023489882,21781.25,144.0,3.382543008,14648.193971808316,14651.576514816315
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,nJSPWbqdZsXrgyez,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.023489882,21781.25,144.0,3.382543008,14648.193971808316,14651.576514816315
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,ktWLpGDenIMMWjDK,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.023489882,21781.25,144.0,3.382543008,14648.193971808316,14651.576514816315
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,bsrVWvXwqkJpxOGI,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.12895705,27625.0,60.0,7.737423,19689.863917154504,19697.601340154502
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,dIbXTDxYToKoQTUL,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.13286484,27625.0,60.0,7.9718904,19689.863917154504,19697.835807554504
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,STgIRweMMAGnSkEV,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,1.8878039,178640.0,67.5,127.42676325,14648.193971808316,14775.620735058315
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,kyLuesPOpAMkcdLg,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.057012796,8870.4,67.5,3.84836373,10849.507609303559,10853.355973033558
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,rJKzFJZiBoFyMiqz,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.076017062,8870.4,67.5,5.131151685,10849.507609303559,10854.638760988559
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,aAWdpvAOYkDayebQ,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.11402559,8870.4,67.5,7.6967273249999995,10849.507609303559,10857.204336628558
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,gDEVqaJNJHtEKCxQ,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.076017062,8870.4,67.5,5.131151685,10849.507609303559,10854.638760988559
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,pSPLHiHIpyYDacLD,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,2.326209,178640.0,67.5,157.0191075,14648.193971808316,14805.213079308316
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,PVjXJdoewgOkkVBu,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.28228551,85000.0,60.0,16.9371306,26146.91573336118,26163.85286396118
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,PYHfSYCDlLPPlwDH,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.095542789,85000.0,60.0,5.73256734,26146.91573336118,26152.64830070118
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,WKeEJmwUAmPyrcOO,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.23489882,21781.25,144.0,33.825430080000004,14648.193971808316,14682.019401888316
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,GeuNDIbaUDPJyhBM,pRMCpYlDGPhZMvkp,QkwvjXHVEulRHFGE,0.093959527,21781.25,144.0,13.530171888,14648.193971808316,14661.724143696316
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,rsFmksvChKvxrKWB,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.052114249,85000.0,60.0,3.1268549400000003,26146.91573336118,26150.04258830118
mvoHTtCmjqjdSwDd,MeyyMDHqJaRUhRIW,IqEkDRzcqeUlIfEF,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.004342854,85000.0,60.0,0.26057124,26146.91573336118,26147.17630460118
UbSpHthdgRKwZLMO,XXdocZuzrenKTunP,rjpNOMEOCzSEumiN,pRMCpYlDGPhZMvkp,rEmjyqmwotFfZVpE,0.14856487,27625.0,60.0,8.9138922,19689.863917154504,19698.777809354502
