PLANT CODE,CATEGORY MAIN,MAX_PRODUCTION_CAPACITY,PRODUCTION COST (INR/CASE)
BfwKOlSiidLFySRr,OhbVrpoiVgRVIfLB,110880.0,67.5
EPVKkMaSqTBVKVNI,AFEnzdkyayqYYDsB,0.0,36.0
EPVKkMaSqTBVKVNI,CLrZaWZkSBvrjnWv,25500.0,144.0
EPVKkMaSqTBVKVNI,GgOtOGMmjxWkIXHa,0.0,60.0
EPVKkMaSqTBVKVNI,MOkIUpkDyrOSJoRu,18742.5,144.0
EPVKkMaSqTBVKVNI,MuFbhxZtpdpKffUF,0.0,36.0
EPVKkMaSqTBVKVNI,XXdocZuzrenKTunP,39270.0,60.0
EPVKkMaSqTBVKVNI,cbfnoGMbJmTPSIAo,122400.0,75.0
EPVKkMaSqTBVKVNI,gfygwwMqZcUDIhyf,20400.0,144.0
EPVKkMaSqTBVKVNI,rDpeCZJgdPIafWpk,0.0,60.0
EPVKkMaSqTBVKVNI,rXPvhsBkDaUUqGWl,9371.25,144.0
GldHOcJAhZCGaHFh,OhbVrpoiVgRVIfLB,86240.0,67.5
IyeJmVJkwZvSLhso,JsONxKmTecQoXsfo,19958.399999999998,60.0
IyeJmVJkwZvSLhso,OhbVrpoiVgRVIfLB,0.0,67.5
IyeJmVJkwZvSLhso,eWIXiiQEJkqHMBnI,0.0,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,8870.4,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,8870.4,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,8870.4,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,13305.599999999999,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,13305.599999999999,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,13305.599999999999,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,19958.399999999998,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,19958.399999999998,67.5
IyeJmVJkwZvSLhso,gyrDOxkxwnQrSRPe,19958.399999999998,67.5
QERcSvQeUhNoHInR,FzPDjqipVJIqVLBL,38250.0,120.0
TlklqLlSrqYqbTVz,CLrZaWZkSBvrjnWv,21781.25,144.0
TlklqLlSrqYqbTVz,OhbVrpoiVgRVIfLB,178640.0,67.5
TlklqLlSrqYqbTVz,cbfnoGMbJmTPSIAo,90610.0,75.0
TlklqLlSrqYqbTVz,gfygwwMqZcUDIhyf,10455.0,144.0
UbSpHthdgRKwZLMO,AFEnzdkyayqYYDsB,0.0,36.0
UbSpHthdgRKwZLMO,CLrZaWZkSBvrjnWv,34650.0,144.0
UbSpHthdgRKwZLMO,GgOtOGMmjxWkIXHa,0.0,60.0
